uid,poi_href,poi_id,name,star,content,datetime,description,pics,tel,site,time,traffic,ticket,opentime,location,insides
598497,/poi/16.html,16,龙门石窟,5,龙门石窟很壮阔 在河的两边 满是大大小小得佛像 让人对古人如何完成如此浩大工程充满想象 尤其是那尊大佛 真的需要仰望 适合一开门就进去 乘着游客不多的时候慢慢走慢慢欣赏,2015-11-22 09:18:13,中国三大石窟之一，历史悠久，开凿经历了多个朝代，断续营造达500余年之久，共有97000余尊佛像。 这里东、西两山对峙，伊水中流，形似天然门阙，石窟密布于峭壁上，南北长达1公里。 龙门石窟是洛阳最经典的景点，其中最震撼的是卢舍那大佛雕像群，有半山高。 这里山清水秀，气候宜人，选择一个牡丹盛开的季节，观赏一下古代人留下的文化遗产。,4917,0379-65980972,http://www.lmsk.cn/,4-5小时,位于洛阳市洛龙区，有多种方式可到达    1、飞机：龙门石窟没有机场直达，可以先乘坐飞机到达洛阳北郊机场，再搭乘公交或出租车到达龙门石窟。   从机场到龙门石窟可乘坐83路公交转乘81路公交到达：乘坐83路公交，从【飞机场候机楼】站上车，到【洛阳站（西广场）】下车，转乘81路，到【龙门石窟站】下车即可。   2、火车 ：乘坐火车前往龙门石窟一般先到达洛阳站或者洛阳龙门站，再转乘公交或出租车前往。    ①洛阳站：  乘坐81路公交直达：从【洛阳站（西广场）】上车，到【龙门石窟站】下车。  ②洛阳龙门站：  步行至【通衢路厚载门街口东站】，乘坐67路或71路环线，到【龙门石窟站】下车，票价1元。再乘坐出租车到达龙门石窟，价格为10元左右。   景区内交通： 电瓶车：除步行以外，游客也可以选择景区内的电瓶车进行游览。按站收费2元/站，全程10元； 线路一：停车场-中心广场-售票处-终点站； 线路二：礼佛台-香山寺-白园-大桥西-终点站； 游船：景区内提供游船服务，线路：西山奉先寺码头-东山白园码头，全程约15分钟，票价：20元/人（游船咨询电话：0379-65980287）,成人票100元（包括：西山石窟、东山石窟、香山寺、白园，四处统一售票）； 半价票：在校中、小学生（凭本人有效学生证），60-69周岁老人（凭本人有效身份证件）； 免费：1.4米以下未成年人；70岁以上老人（凭本人有效身份证）； (牡丹文化节期间逢周五、周六、周日提前半小时售票、推迟半小时闭馆，清场时间顺延推迟半小时；五一、十一期间提前半小时售票、推迟半小时闭馆，清场时间顺延推迟半小时）,2月1日-3月31日：售票8:00-17:00，闭馆18:00； 4月1日-10月7日：售票7:30-17:30，闭馆18:30； 10月8日-10月31日：售票7:30-17:00，闭馆18:00； 11月1日-1月31日：售票8:00-16:00，闭馆17:30； 夜游售票时间：19:00-20:40（21:00停止入内）； 开灯时间：19:30； 清场时间：21:00停止入内，西山石窟21:00闭馆，香山寺22:00闭馆,洛阳市洛龙区(南郊12公里处的伊河两岸),东山石窟|西山石窟|香山寺|白园|奉先寺|万佛洞|龙门大桥
598497,/poi/127.html,127,许留山(亚皆老街店)Hui Lau Shan Healthy Desser,5,超级爱，所有的都爱，只恨自己胃不够大，不能多吃一点啊，甜点做的果然比内地好吃,2014-04-02 18:43:36,,,,,,,,,,
598497,/poi/177.html,177,三潭印月,5,1元人民币的图案，坐船从它身边经过，忍不住不免俗的掏出一张钱来个合照。我又多走过1块钱的地方了。哈哈,2013-10-19 13:32:32,又称“小瀛洲”，是西湖中最大的一个岛，被誉为“西湖第一胜境”，是江南水上庭院艺术的代表作。 九曲桥东，隔水与一堵白粉短墙相望。墙两端了无衔接，形若屏风。但粉墙上开启四只花饰精美的漏窗，墙内墙外空间隔而不断，相互渗透。全岛花木疏密相间，以翠柳，荷花，红枫，木芙蓉为主，四季花开不断，艳丽多彩。 三潭印月还从岛上向湖上延伸。三座瓶形小石塔鼎足而立，一元纸币上的图案就是它了。环塔身分布五个小圆孔，中秋前后去看看，那时可以看到33个月亮，这时水天相映，塔中点燃灯烛，与明月上下争辉。赏月游湖者摇浆前来，搅动满湖银辉，天月，水月，塔月，心中之月，有“月光映潭，塔分为三”之说。,1495,,,1小时20分钟,上岛游玩需要乘游船，分为豪华画舫（有空调）和普通游船两种，游玩结束后可凭票乘船返回至花港、湖滨、中山、岳庙码头其中任意一个码头,55元/人，船票中已包括了游小瀛洲的门票，包来回,景区全天开放，电动船开行时间为：春夏季7:30-16:30，秋冬季8:00-16:00,西湖区西湖中部偏南,
598497,/poi/181.html,181,灵隐禅踪(灵隐寺),5,香火很旺的寺庙，好多人都回去拜拜，即使不求什么，也看看古寺庙的风情。,2013-10-19 13:39:51,到杭州旅游，一看西湖，二看灵隐。灵隐寺创建于东晋年间，又名云林寺。是杭州最早的古寺名刹。也是济公出家的地方。印度僧人慧理见这里景色奇幽，以为是“仙灵所隐”就在这里建寺。 大雄宝殿前的石塔，天王殿前的石经幢均是五代十国吴越时的遗物。灵隐寺珍藏的佛教文物，有古代贝叶写经，东魏镏金佛像，明董其昌写本《金刚经》，清雍正木刻龙藏等等，都是珍贵的宝物。 游灵隐，看飞来峰，背依北高峰，面迎飞来峰，两峰挟峙，山地平缓，四周林青木秀，鸟鸣山幽，云飘雾浮。,5764,0571-87968665,http://www.lingyinsi.org/,1小时,灵隐寺位于西湖区法云弄1号，可乘公交到达   J17、J18、K837、K7、K807、Y1、Y2、路到灵隐站下；193到灵隐东大门；K837到灵隐停车场，均可到达。,飞来峰45元，灵隐寺香花券30元，要进灵隐寺必须先购买飞来峰景区门票。,灵隐寺：7:30-17:15；飞来峰：8:30-16:30（16:30停止售票，佛诞节日、朔望、国定节假日，早上提前30分钟开门）,杭州市西湖区灵隐路法云弄1号,
598497,/poi/238.html,238,九寨沟自游国际青年旅舍Jiuzhaigou Self Tour Youth Hostel,4,还不错 离沟口不远 性价比比较高 驴友比较多,2015-08-19 20:55:29,,,,,,,,,,
598497,/poi/403.html,403,马迭尔冷饮厅,4,每次经过中央大街的马迭尔冷饮店 都是老长老长的队伍 都是慕名前去的 但是老实说 我和小伙伴们一致觉得味道一般 很浓的香精的味道 只不过是大冬天在零下的温度里吃冰棒感觉很Cool。。,2015-11-11 19:20:51,,,,,,,,,,
598497,/poi/411.html,411,哈尔滨卡兹国际青年旅舍Harbin Kazy Int'l Youth Hostel,4,比较老牌的国际青旅了 内部设施不错 外面看就比较低调了。。。,2014-07-03 19:15:37,,,,,,,,,,
598497,/poi/480.html,480,兰芳园茶餐厅(中环)Lan Fong Yuen,4,丝袜奶茶很出名的 可惜我对奶茶无爱。。 很有名 吃的做的都不错 尤其是猪扒包,2015-08-20 20:08:34,,,,,,,,,,
598497,/poi/483.html,483,星光大道Avenue of Stars,5,人超多。。大家都是各种蹲着拍照的姿势 如果不看那些明星的手印 单纯沿着岸边走走也是很舒服的,2015-08-24 21:56:32,香港星光大道原是位于尖沙咀太空馆至洲际酒店之间的海滨长廊，用以连接红磡及尖沙咀。后得到政府拨款美化建成。这个以电影为主题的景点，地上有多位香港电影明星及著名导演的手印和签名。不但可以向明星索“签名”、跟他们“握手”，甚至还能够与国际功夫巨星李小龙、香港卡通角色麦兜来个合影。 大道彷照美国好莱坞星光大道设计，以香港电影业发展史及旨在表扬幕后巨星和幕后电影工作者成就为主题，从香港艺术馆旁伸延至新世界中心对开，全长440米。作为表扬香港电影界的杰出人士，地面装嵌的73名电影名人的牌匾，30多块有名人打手印，成为香港旅游一个热点。从香港德高望重的老牌电影人狄龙、楚原、谢贤，到当代国际港片大师吴宇森、徐克、洪金宝、冯宝宝，和杨紫琼、刘德华、成龙等，都在这里留下了他们的手印。,6565,,http://www.avenueofstars.com.hk/,1小时,地铁：从港铁尖东站J出口，依路牌指示前往，步行约3分钟。 轮渡：天星小轮到尖沙咀码头 巴士：九龙巴士：13X、203、208、215X、219X、230X、26、260X、268B、269B、28、35A、41A、5、5A、5C、69B、8、81C、87D、8A (循环线)、8P (循环线)、98D、K16、N216 (通宵服务)、N241 (通宵服务)、N271 (通宵服务)、N281 (通宵服务) 新世界第一巴士：110 城巴：973、A21、N21  新大屿山巴士：1R,免费,全天开放,香港尖沙咀海滨长廊(毗邻香港艺术馆),
598497,/poi/484.html,484,维多利亚港,5,除了太平山顶 另一个看夜景的好地方 坐着天星小轮 慢慢的在海上漂 看两岸霓虹灯照亮整座城市,2015-08-24 22:00:47,维多利亚港是亚洲的第一大海港，世界第三大。维多利亚港（简称维港，英语：Victoria Harbour）是位于香港的香港岛和九龙半岛之间的海港。由于港阔水深，为天然良港，香港亦因而有“东方之珠”、“世界三大天然良港”及“世界三大夜景”之美誉。维多利亚港的名字，来自英国的维多利亚女王。一年四季皆可自由进出。早年已被英国人看中有成为东亚地区优良港口的潜力，后来从清政府手上夺得香港，发展其远东的海上贸易事业。维多利亚港一直影响香港的历史和文化，主导香港的经济和旅游业发展，是香港成为国际大化大都市的关键之一。,6686,,,2-3小时,1.香港地铁直达：乘坐地铁抵达【尖沙咀】站下车即可到达； 2.巴士直达：乘坐1、1A、8、8A、8P、9到【尖沙咀码头】下车； 3.天星小轮：天星小轮航线：中环←→尖沙咀、中环←→红磡、湾仔←→尖沙咀、红磡←→湾仔航线。,免费,全天开放。每晚8:00有“幻彩咏香江”灯光音乐汇演免费欣赏。,香港岛和九龙半岛之间的港口和海域,
