uid,poi_href,poi_id,name,star,content,datetime,description,pics,tel,site,time,traffic,ticket,opentime,location,insides
71783903,/poi/5426285.html,5426285,黄鹤楼Yellow Crane Tower,3,人很多，一早开门就去会比较好。风景不错，天气好的时候可以看到武汉三镇，交通方便。,2014-10-07 15:33:22,黄鹤楼位于武昌江畔，紧邻长江大桥，有“天下江山第一楼”的美誉，是地理上武汉的中心。因为建于蛇山之上，再加上5层的楼高，以及周边无高层建筑，所以这里的视野非常开阔。除了黄鹤楼之外，景区内还有大量的石碑、石刻，都是历代名人的真迹。这里绿化非常高，不行在山间非常惬意。每天在落梅轩还有楚地特色的编钟表演，时间分别为10:00，11:40，14:20，16:00，表演免费。,4314,027-88871394,,2小时,电车1路、电车4路，公交10、61、64、108、401、402、411、413、584等路到黄鹤楼站下。或者乘车在阅马场下车（参见首义广场交通）,A.免票政策：儿童在1.2m以下免票，70周岁以上的老人（凭身份证或老年证）免票，现役军人（凭现役军人有效证件）免票、残疾人（凭残疾人证）免票 B.优惠政策：身高1.2-1.4m购儿童票40元，60-69岁的老人（凭身份证或老年证）预订老年票40元，（本科及以下）持有效学生证购票40元,07:30—18:30(4月1日至10月31日)；07:30—17:30(11月1日至3月31日,湖北省武汉市武昌蛇山,
71783903,/poi/5812.html,5812,武汉大学Wuhan University,4,学校的老建筑很漂亮，没有看到樱花有点遗憾。交通方便，学校旁边的各种店子也很多。,2014-10-07 15:35:06,武汉大学前身为清末湖广总督张之洞创立的自强学堂，1928年，更名为“国立武汉大学”。 武汉大学濒临东湖，环抱珞珈山，校园内绿树成荫，中西合璧的宫殿式建筑群古朴典雅，巍峨壮观，一批建筑如宋卿体育馆、樱园老斋舍、图书馆、半山庐等，被列为全国文物重点保护单位，住宿区还有桂园、枫园、樱园、梅园等四大名园。网评武汉大学为中国十大最美高校之一。 古朴的建筑点缀于茂密的树林之间，四季花开不败，走在校园里，花香鸟语。拿一本书，找一个安静的地方，重温青春时光。,5175,027-68755114,http://www.whu.edu.cn,2-3小时,在武汉到武大的公交车很多，乘317、413、515、519、552、564、572、587、591、608、724路在八一路珞珈山下车即可到达。,武汉大学在每年樱花季时期会向外来游客收取20元参观票，其余时间免费。,全天开放,武汉市武昌区珞珈山路16号,武汉大学樱花节
71783903,/poi/6221.html,6221,湖北省博物馆,4,人比较少，直接用身份证换票，文物很多，编钟一定要看，交通方便。,2014-10-07 15:31:46,位于武汉市东湖畔的湖北省博物馆，是我国重要的国家级博物馆，馆藏文物丰富。最值得看的是四大镇馆之宝：1978年出土于“曾侯乙墓”的曾侯乙编钟，音域宽广，音色优美，可以演奏中外各种乐曲，它的出土，改写了世界音乐史；中国冷兵器时代的精品之作越王勾践剑，至今锋利无比，在它边上展出的是“吴王夫差矛”，生前两人是死对头，死后两人的兵器“在一起”；郧县人头骨化石的地质年代距今约100万年，早于北京猿人的头骨化石；元青花四爱图梅瓶，是元代青花瓷中极其罕见的精品。“元青花”制作精美而传世极少，反映人物图案的器物更为罕见。,3184,027-86794127,http://www.hbww.org/,2-3小时,公交   1、乘坐14、108、402、411、552、578、701、709路至【省博物馆】站下。  2、乘坐605、709、712路至【黄鹂路】站（湖北日报对面）下。,免费开放，编钟定时演奏：30元，每次表演20分钟；每日上午10:30、11:30和下午14:30、15:30各两场。,周二—周日9:00-17:00（15:30停止入场），周一（除国家法定节假日除外）闭馆。,武汉市武昌区武昌东湖路156号,
71783903,/poi/35816.html,35816,轮渡,4,票很便宜，直接横渡长江，推荐黄昏的时候去体验，从江上看日落有意思哦。,2014-10-07 15:30:18,,,,,,,,,,
71783903,/poi/1613.html,1613,大三巴牌坊,4,在图片上看过很多次，但是真正站在它面前还是很震撼，推荐早点去，旅行团真心多。,2013-12-04 23:22:06,大三巴牌坊位于澳门半岛大三巴斜港，是圣保禄教堂正面前壁的遗迹，右边邻近大炮台和澳门博物馆，距今已有350多年历史，是澳门最为大众熟悉的标志。“三巴”是“圣保禄”的译音，又因教堂前壁遗迹貌若中国传统的牌坊，所以称大三巴牌坊，此景点已于2005年7月列入《世界遗产名录》。游览大三巴牌坊，除欣赏巍峨壮观的前壁之外，更要留意牌坊(前壁)上精致的浮凋及其含义。  参观完牌坊，可以到内侧广场的天主教艺术博物馆参观；馆内收藏了澳门教堂和修院具代表性的画作、凋塑等，当中最珍贵的是一批以宗教生活为题材的油画，这是远东的第一批画作，也是东方最古老的油画。隔壁的墓室更存放著日本和越南殉教者的遗骨，展示澳门的宗教历史。,5830,(853)62386441,,1小时,公交： （1）乘10、10A、11、21A、2、3、3A、4、5、6、7、8A、26A、33路于新马路下车，沿议事亭前地及步行径前往可到。 （2）乘17、18、8A、26于白鸽巢总站下车沿石仔路前往。,免费,全天，天主教艺术博物馆与墓室开放时间9：00-18：00,澳门半岛大三巴斜港(炮台山下),
71783903,/poi/4083.html,4083,黑沙海滩Black beach,5,黑色的沙子头一次看见。那里的日落真心安静美好，虽然离主城区有点远，但值得特意去啊！,2013-12-04 23:22:21,黑沙海滩位于澳门的离岛路环岛上，是天然的海滩，也是澳门著名的天然海浴场，“黑沙踏浪”是澳门八景之一。海湾呈半月形，坡度平缓，滩面广阔。附近有一片松林，苍翠茂密；旁边建有宽广的停车场、公共汽车站及各式小食店。海滩入口附近有黑沙公园。 黑沙的特色在于黝黑、幼滑的细沙，海滩因而得名。据说，黑色的细沙是由于海洋特定环境形成的黑色次生矿海绿石所致。“海绿石”受海流影响，被搬运至近岸，再经风浪携带到海滩，使原来洁白明净的白沙滩，变成迷人神秘的黑沙滩。 沙滩周围娱乐项目众多，每逢假日周末及盛夏时节，这这游人如潮，热闹非常。,860,,,2~3小时,公交——可乘公交15、21A、25、26A、26路可到达,黑沙海滩滩没有时间限制，免费，其他娱乐活动场地收费如下： 黑沙公园网球场：MOP20/小时，19:00后加收费MOP20； 多用途运动场(三个以上)：MOP50/小时，19:00后附加收费MOP20； 迷你高尔夫球场：MOP10； 游泳池：成人MOP15、5至17岁青少年MOP5、5岁以下小童免费。,8:00-21:00(周六延迟至24：00),澳门新黑沙马路(路环岛东面),
71783903,/poi/4233.html,4233,大赛车博物馆,5,好多好多赛车，虽然不是很懂，高大上还是知道的，还可以现场体验驾车游戏。,2013-12-04 23:22:44,大赛车博物馆主要展览着一些与格兰披治大赛车活动有关的照片、文章、奖项以及有纪念价值的物品；另外，在澳门大赛车博物馆中还配有投影仪用以介绍博物馆及世界各地之格兰披治大赛车活动的各种情况，以及播放比赛的精彩片断等。,346,(853)7984108,,,,免费,10:00-18:00，逢周二休馆,澳门友谊大马路207号,
71783903,/poi/4433.html,4433,岗顶剧院,5,内部装修就像老电影里面的剧院一样豪华，工作人员超级nice。,2013-12-04 23:22:46,岗顶剧院位于澳门半岛的岗顶前地，原称伯多禄五世剧院（Theatro Dom Pedro V），华人又称“马蛟戏院”或“岗顶波楼”。剧院1860年由澳门葡人集资兴建，以纪念葡萄牙国王伯多禄五世，其后曾多次维修，并曾因白蚁蛀蚀关闭了将近20年，至1993年进行内部维修后重开，整幢剧院的主体建筑基本保存完整。岗顶剧院的新建，令中国的土地上从此有放映电影场地，意大利的普契尼歌剧《蝴蝶夫人》的亚洲首演就在这里举行，当时轰动的场面，成为一时佳话。 第二次世界大战期间，曾为难民庇护所。,223,,,1小时,公交——乘坐9、16、18、28B巴士可到达,免费,花园开放时间：10:00-23:00 剧院暂未对外开放参观,澳门半岛岗顶前地,
71783903,/poi/4359.html,4359,圣母雪地殿教堂,5,在山上，需要爬上去。样子很小巧可爱，里面还有很久以前的遗迹，还可以盖纪念章。,2013-12-04 23:22:53,圣母雪地殿教堂是位于澳门东望洋山山顶上的小教堂，在东望洋灯塔旁边，是东望洋山三大名胜古迹之一。教堂主色为白色，带着黄色的线条点缀，具17世纪葡萄牙修院的建筑风格。,43,,,,,,,澳门东望洋山山顶上,
71783903,/poi/6132021.html,6132021,东望洋灯塔Guia Lighthouse,5,人不多，在一个公园里面，交通方便，建筑很可爱，有很多东西可以看。,2014-10-07 16:14:38,,,,,,,,,,
